customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
28,Female,0,Yes,Yes,41,No,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,89.71735379435323,1556.679104215165,No
29,Male,1,No,Yes,40,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),40.77111103534461,6252.789295106654,No
30,Male,1,Yes,No,69,Yes,Yes,No,Yes,No internet service,No,No,No,Yes,Two year,No,Credit card (automatic),103.96064547988364,827.9468160337583,No
31,Male,1,Yes,No,26,No,No phone service,No,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),74.67860565699598,1434.8221549069387,No
32,Male,1,No,Yes,17,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,38.53783193401615,3202.1542906292293,No
33,Male,1,Yes,Yes,11,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),39.35447341824193,3727.927218724823,Yes
34,Female,0,Yes,No,2,No,No,DSL,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),26.60696059199292,2971.343890508548,Yes
35,Female,0,No,No,8,No,No phone service,DSL,No internet service,No,No,No,No,No internet service,One year,No,Credit card (automatic),112.30786754142488,5846.386518616868,No
36,Female,0,No,Yes,23,No,No,DSL,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),23.923112093292865,6604.269076941201,Yes
37,Female,1,Yes,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,50.12038002946802,5758.05471235503,Yes
38,Male,0,No,No,23,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,44.86917502990986,5047.466749399977,No
39,Male,0,Yes,No,56,No,No phone service,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,111.73677521652642,4116.3429748321105,No
40,Male,0,Yes,Yes,15,Yes,Yes,No,No internet service,No,No,Yes,No,Yes,One year,Yes,Mailed check,59.48675849400722,7784.133677972402,No
41,Female,1,No,No,40,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,22.86192420491294,2968.140642461926,Yes
42,Male,1,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,91.74311619275319,1271.7480114671969,Yes
43,Male,0,Yes,No,38,Yes,No,No,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,24.301752863843028,3764.6136662505037,Yes
44,Female,0,No,No,15,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,107.60779856129022,1655.8325779806034,No
45,Female,0,Yes,No,32,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No internet service,One year,No,Electronic check,53.01111717378028,3377.1195839583747,No
46,Female,1,No,No,24,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No,Two year,Yes,Electronic check,115.40734048733026,1532.899065811502,No
47,Female,0,No,Yes,57,No,No,DSL,No internet service,Yes,No internet service,No,No,No,Two year,No,Bank transfer (automatic),43.55014300685274,367.4848939277523,No
48,Male,0,No,Yes,23,No,Yes,Fiber optic,No,No,No,No,No internet service,No,One year,No,Credit card (automatic),103.48002105774428,3445.5824638934496,No
49,Female,1,No,Yes,40,No,No,DSL,Yes,No internet service,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),113.4335972973131,3737.7095101907034,Yes
50,Male,1,Yes,No,22,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Two year,No,Bank transfer (automatic),51.105079396632824,5487.722871117122,No
51,Male,1,Yes,Yes,62,Yes,No,DSL,No internet service,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.92249131994883,6033.729322297493,Yes
52,Female,0,Yes,No,38,No,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),91.61102855112466,3286.475393655735,No
53,Male,0,No,No,47,No,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,89.17824668502972,3370.1945676463415,No
54,Female,0,Yes,Yes,33,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Electronic check,77.71143456836465,4847.150944698039,Yes
55,Female,0,No,Yes,31,No,No,DSL,Yes,No,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,55.16607301680596,2065.175088564666,Yes
56,Male,0,No,No,7,No,Yes,No,Yes,Yes,No,No internet service,No,Yes,One year,Yes,Mailed check,97.53751813863488,1615.151640433118,No
57,Male,1,No,Yes,31,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),25.946654933942117,2395.2859188154757,Yes
58,Female,0,Yes,Yes,55,No,No phone service,DSL,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Mailed check,82.82674630309177,6579.492471824302,No
59,Male,1,No,No,67,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,No,Two year,No,Mailed check,70.65721674641053,4024.0145925710976,No
60,Male,0,No,No,38,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),77.74425412149225,1965.6026504168065,No
61,Male,0,No,No,3,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,85.62570455117067,4127.25408942786,No
62,Female,1,No,Yes,12,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,64.71963924146087,4622.835895031314,No
63,Female,1,Yes,Yes,3,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,One year,No,Electronic check,40.4175820892343,2587.768235971666,No
64,Male,1,No,Yes,6,No,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.17377289735332,4192.747530914386,No
65,Male,1,Yes,Yes,13,No,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,One year,No,Mailed check,111.87149564198364,1961.0327301266734,No
66,Female,0,No,No,59,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No internet service,Two year,Yes,Electronic check,37.15893297671382,4457.124594317273,Yes
67,Male,1,Yes,Yes,19,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.72919371925238,3302.0860193349054,No
68,Male,1,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),112.67441177460987,2347.36044285434,Yes
69,Female,0,Yes,No,10,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),30.57748434832606,6651.423714165651,No
70,Male,0,Yes,No,50,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,92.3275247646277,4061.759546199239,No
71,Female,0,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),58.76029653342556,5832.966888905571,No
72,Male,1,Yes,No,60,No,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,85.76516875406284,2179.0978216721724,No
73,Male,1,No,Yes,67,No,No phone service,DSL,No internet service,No,No internet service,Yes,No,Yes,Two year,No,Mailed check,88.0128305239466,5883.6380424575955,Yes
74,Female,0,No,No,57,No,No,Fiber optic,No,No internet service,Yes,No,Yes,No,One year,No,Credit card (automatic),97.41586167845219,1432.6140979480556,Yes
75,Male,1,Yes,Yes,44,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,95.10462531204783,701.0739257170429,No
76,Female,1,No,Yes,42,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.57914654124703,1726.0672105253327,No
77,Male,0,No,Yes,18,No,Yes,DSL,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,45.3091023997033,5112.829864493933,Yes
78,Female,0,No,Yes,12,No,No,No,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),56.03365145046543,3211.6387628937455,Yes
79,Female,0,No,Yes,18,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),95.84892392427655,2938.3956298211183,No
80,Male,1,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),108.21916365974765,2064.9005016736874,Yes
81,Male,1,Yes,Yes,60,No,No,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,Yes,Electronic check,100.89617824445759,1614.8217243342779,No
82,Female,0,No,Yes,10,No,No phone service,No,Yes,No,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),77.78594764782304,172.87524631903355,No
83,Male,0,Yes,Yes,12,No,Yes,No,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),116.03380545161541,1682.2196313151826,No
84,Male,0,Yes,No,35,Yes,Yes,DSL,No,No,No,Yes,No,No internet service,Month-to-month,No,Electronic check,116.22440129065892,2270.8270091231034,Yes
85,Female,0,Yes,Yes,68,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,No,One year,Yes,Mailed check,19.716477850330985,1928.390023409462,Yes
86,Male,1,No,No,51,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Two year,No,Mailed check,20.292498797523596,239.42633791821567,No
87,Female,0,No,Yes,49,Yes,No,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,94.82457851940964,5718.213968003032,Yes
88,Female,1,No,No,25,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),103.29627376527179,4523.993775843773,No
89,Female,0,No,No,15,No,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),48.29602878202432,4182.649139354133,No
90,Male,1,Yes,No,54,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,One year,No,Credit card (automatic),67.04920265911598,7759.39911491869,Yes
91,Male,0,Yes,Yes,66,Yes,No,No,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,46.84119281503648,2190.269219444286,No
92,Male,1,Yes,Yes,16,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,18.816859111078987,5079.174776704822,No
93,Female,0,No,No,65,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,49.64157105969542,5920.316003922824,No
94,Male,1,Yes,No,25,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,One year,No,Credit card (automatic),61.47320185080164,2514.7640724897688,No
95,Male,0,No,Yes,47,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),18.801106655995916,5823.6015009541725,Yes
96,Female,1,Yes,No,66,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,106.4390989034599,2962.5941767827385,Yes
97,Female,1,No,No,30,No,No,DSL,Yes,No internet service,No,Yes,No,No,Two year,No,Bank transfer (automatic),105.2620464565533,2247.264476401292,No
98,Female,1,Yes,No,31,Yes,No phone service,DSL,No,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,112.37328750021537,7192.523831478716,No
99,Female,1,Yes,Yes,35,Yes,No,DSL,No internet service,Yes,Yes,No,No,No internet service,One year,No,Mailed check,98.5845565064917,7247.266502627305,No
100,Male,0,Yes,No,19,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),101.69123226431874,641.1296567113508,Yes
101,Male,1,Yes,Yes,26,No,No phone service,No,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),97.3637913867818,725.5039940271643,No
102,Female,0,No,Yes,34,No,No,No,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,22.80294778945039,488.84873633323144,No
103,Male,1,Yes,No,39,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Electronic check,19.437055397424963,7564.077144421355,No
104,Female,1,Yes,No,24,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),71.42677219307338,5677.8887806140965,No
105,Female,1,Yes,Yes,9,Yes,No phone service,DSL,No internet service,No,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),50.37152768873631,1284.207698998802,No
106,Female,0,Yes,No,53,No,No,DSL,Yes,Yes,No,No internet service,No,No,One year,No,Mailed check,45.406928337033,7735.349020370866,No
107,Female,0,Yes,No,6,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No,Two year,No,Mailed check,46.78004303158744,24.810935182621506,No
108,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),112.86037916999626,4608.860212039225,Yes
109,Female,1,Yes,Yes,50,No,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,One year,Yes,Electronic check,49.49422743539049,867.6077811399172,No
110,Female,0,Yes,Yes,35,No,No,No,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),105.04998911979185,7682.688671464136,No
111,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Two year,Yes,Electronic check,85.92325979840572,3447.6639946629857,No
112,Female,1,Yes,No,31,Yes,No phone service,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.99419444114285,6205.807426616917,No
113,Male,0,Yes,Yes,42,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,28.804661509821866,3581.468614207257,No
114,Male,1,Yes,No,17,No,No phone service,No,No internet service,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),21.940837523121736,7447.721384812621,No
115,Female,1,No,No,37,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),70.53464700050904,614.9609368281592,No
116,Female,1,Yes,No,42,No,No phone service,Fiber optic,No,No internet service,No,Yes,No,No internet service,One year,No,Credit card (automatic),87.2031928383549,1715.4315668031413,No
117,Male,1,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),116.09289210152758,3497.8339795908655,No
118,Male,1,Yes,No,50,Yes,No,No,Yes,No,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),89.2161633589809,1295.129742794859,No
119,Female,0,Yes,Yes,59,No,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,54.78758686087216,6539.282168421513,No
120,Female,0,Yes,No,63,No,Yes,No,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,65.54438347717307,5454.79379071247,No
121,Female,0,No,No,24,No,Yes,No,No internet service,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),53.23369310716672,7801.607708476144,No
122,Female,1,Yes,No,42,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),80.15994673391216,3017.4488936917055,Yes
123,Female,1,Yes,No,62,No,No,No,No,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,37.82132540330734,7484.524433188101,No
124,Female,1,No,No,40,No,No,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.19589410443365,7455.812915057675,No
125,Female,0,No,No,54,No,No,DSL,Yes,Yes,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),86.86129173858122,1961.927521287767,No
126,Female,1,Yes,No,46,No,No phone service,DSL,No internet service,No,No,Yes,Yes,No,One year,Yes,Electronic check,66.37895014120737,1034.874367480197,No
127,Female,1,Yes,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),26.67986611654425,6126.8765771943745,No
128,Female,0,No,No,4,Yes,No phone service,No,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),42.56355524131008,370.8925074327854,No
129,Male,0,Yes,Yes,22,No,No,DSL,No,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,85.55572029443455,984.6562771725183,No
130,Male,1,No,Yes,60,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,Yes,One year,No,Credit card (automatic),42.89734365478409,6701.4334101795375,Yes
131,Female,1,No,No,54,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,61.99909855811331,5355.044926344797,No
132,Male,0,Yes,No,40,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),20.21992467311986,6806.985397872045,No
133,Female,1,No,No,15,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),119.37309861324901,3309.8161128427587,No
134,Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),103.50774263398347,6173.551396479694,No
135,Female,0,No,No,62,No,No,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,36.74284257422335,5179.302290825581,No
136,Female,1,Yes,Yes,21,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,43.30520807997912,2644.1516262626396,No
137,Male,1,No,No,55,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,25.20398650600422,698.1204122089757,No
138,Female,0,Yes,No,37,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,85.55518462131849,3960.998702494564,No
139,Female,1,No,Yes,15,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,89.78386549453128,2963.7309245748024,No
140,Male,1,Yes,Yes,7,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,51.35767583639197,3436.395413249906,No
141,Male,1,No,Yes,62,No,No,No,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),31.235412732595787,620.9771546465303,No
142,Male,0,Yes,Yes,60,No,Yes,DSL,Yes,No internet service,No,Yes,Yes,No,One year,No,Mailed check,90.83407404919049,3662.360106260873,No
143,Male,1,No,Yes,39,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,One year,No,Mailed check,101.89837752244588,4870.852496969942,No
144,Male,1,Yes,Yes,27,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,37.61008101879591,7849.041169673246,No
145,Male,0,No,No,46,No,No,DSL,No internet service,Yes,No,No internet service,No,No,One year,No,Bank transfer (automatic),32.927225911133796,2505.9967614447264,Yes
146,Male,1,No,Yes,65,No,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),23.600817242548498,4465.916355093462,No
147,Male,1,Yes,Yes,25,No,No,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,107.08168251705378,7395.949133438285,No
148,Female,0,Yes,No,19,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,38.31048112509824,829.9220536007756,No
149,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,One year,No,Mailed check,23.403862120188037,6907.569086009947,No
150,Female,1,Yes,No,10,No,No phone service,No,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),90.26059854758114,4726.390231621545,No
151,Female,1,No,No,60,Yes,No,DSL,No,No,No internet service,No internet service,No,No internet service,One year,No,Mailed check,83.04413175054516,7915.6423126994405,Yes
152,Female,1,No,Yes,56,No,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,119.82576922639237,4196.999526543965,No
153,Male,1,No,Yes,72,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),75.3107246591962,5945.114184515774,No
154,Male,0,No,No,35,No,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,105.43692759998955,2107.2354956469667,Yes
155,Male,0,Yes,No,64,No,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,One year,No,Credit card (automatic),71.67535380753743,133.25666956040067,Yes
156,Female,1,No,Yes,63,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No internet service,One year,Yes,Electronic check,111.53033435205893,7731.387826635109,No
157,Male,0,No,No,23,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,67.74505493957786,1746.9413454168625,Yes
158,Female,0,No,No,27,No,No,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.77513980408752,5964.458080901213,No
159,Female,1,Yes,No,21,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,One year,Yes,Credit card (automatic),79.75064634906329,3754.4574927746726,No
160,Female,1,Yes,No,40,Yes,No phone service,DSL,No,Yes,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),110.11286762576654,6226.051253639254,No
161,Male,1,Yes,Yes,39,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,Two year,Yes,Credit card (automatic),20.92239099075566,4328.3489088776405,Yes
162,Male,0,No,Yes,1,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),44.047001864241835,4877.210607326799,No
163,Female,1,No,Yes,36,No,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No internet service,One year,No,Mailed check,111.8735712911408,4847.08094316848,No
164,Female,0,Yes,No,60,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),43.48397048979619,3060.046194865201,No
165,Female,1,Yes,Yes,71,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,59.03738658832922,7962.725242830656,No
166,Female,0,Yes,No,30,No,No,No,No,No internet service,No,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),80.99978417743434,5849.045123716077,No
